date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:47:24	259/259	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Aug%202022%2022:47:24%20GMT	https://lojademo.meucatalogodigital.com/robots.txt		(from )
19:47:24	73273/73273	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Aug%202022%2022:47:24%20GMT	https://lojademo.meucatalogodigital.com/lojademo/	C:/Os%20meus%20Sites/catalogo%20luna%20joias/lojademo.meucatalogodigital.com/lojademo/index.html	(from )
19:47:25	10202/10202	---M--	200	added ('OK')	image/png	etag:%22b7af1f098abb0d31a58aa74c121380eb%22	https://cdn.meucatalogodigital.com/lojademo/logo-1.png	C:/Os%20meus%20Sites/catalogo%20luna%20joias/cdn.meucatalogodigital.com/lojademo/logo-1.png	(from https://lojademo.meucatalogodigital.com/lojademo/)
19:47:25	21025/21025	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20May%202022%2013:45:35%20GMT	https://lojademo.meucatalogodigital.com/css/estilos.css?ok=5	C:/Os%20meus%20Sites/catalogo%20luna%20joias/lojademo.meucatalogodigital.com/css/estilosf59c.css	(from https://lojademo.meucatalogodigital.com/lojademo/)
19:47:26	4793/4793	---MCZ	200	added ('OK')	text/css	date:Tue,%2014%20Sep%202021%2012:52:09%20GMT	https://lojademo.meucatalogodigital.com/owl-carousel/assets/owl.carousel.css	C:/Os%20meus%20Sites/catalogo%20luna%20joias/lojademo.meucatalogodigital.com/owl-carousel/assets/owl.carousel.css	(from https://lojademo.meucatalogodigital.com/lojademo/)
19:47:26	1943/1943	---MCZ	200	added ('OK')	text/css	date:Tue,%2014%20Sep%202021%2012:52:09%20GMT	https://lojademo.meucatalogodigital.com/owl-carousel/assets/owl.theme.default.css?ok=2	C:/Os%20meus%20Sites/catalogo%20luna%20joias/lojademo.meucatalogodigital.com/owl-carousel/assets/owl.theme.default1e95.css	(from https://lojademo.meucatalogodigital.com/lojademo/)
19:47:26	12795/12795	---MCZ	200	added ('OK')	text/css	date:Tue,%2014%20Sep%202021%2012:51:27%20GMT	https://lojademo.meucatalogodigital.com/fancybox/jquery.fancybox.min.css	C:/Os%20meus%20Sites/catalogo%20luna%20joias/lojademo.meucatalogodigital.com/fancybox/jquery.fancybox.min.css	(from https://lojademo.meucatalogodigital.com/lojademo/)
19:47:27	101981/101981	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2012%20Aug%202022%2022:47:26%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Os%20meus%20Sites/catalogo%20luna%20joias/connect.facebook.net/en_US/fbevents.js	(from https://lojademo.meucatalogodigital.com/lojademo/)
19:47:27	43510/43510	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Sep%202021%2012:51:31%20GMT	https://lojademo.meucatalogodigital.com/imagens/carrinho.png	C:/Os%20meus%20Sites/catalogo%20luna%20joias/lojademo.meucatalogodigital.com/imagens/carrinho.png	(from https://lojademo.meucatalogodigital.com/lojademo/)
19:47:27	45579/45579	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Aug%202022%2022:47:27%20GMT	https://lojademo.meucatalogodigital.com/lojademo/carrinho/	C:/Os%20meus%20Sites/catalogo%20luna%20joias/lojademo.meucatalogodigital.com/lojademo/carrinho/index.html	(from https://lojademo.meucatalogodigital.com/lojademo/)
19:47:27	23055/23055	---M--	200	added ('OK')	image/jpeg	etag:%22645e84ab71bdf70225d3c9aabab5894c%22	https://cdn.meucatalogodigital.com/lojademo/1047713-3.jpg	C:/Os%20meus%20Sites/catalogo%20luna%20joias/cdn.meucatalogodigital.com/lojademo/1047713-3.jpg	(from https://lojademo.meucatalogodigital.com/lojademo/)
